000006	2015-07-01 08:08:04	1	I
000012	2015-07-01 08:08:13	1	I
000010	2015-07-01 08:12:52	1	I
000005	2015-07-01 08:12:55	1	I
000008	2015-07-01 08:13:00	1	I
000007	2015-07-01 08:14:43	1	I
000012	2015-07-01 12:30:43	1	O
000006	2015-07-01 12:37:25	1	O
000008	2015-07-01 12:40:39	1	O
000007	2015-07-01 12:41:17	1	O
000005	2015-07-01 12:45:17	1	O
000012	2015-07-01 14:03:04	1	2
000005	2015-07-01 14:06:57	1	2
000005	2015-07-01 14:07:02	1	I
000008	2015-07-01 14:07:06	1	I
000006	2015-07-01 14:07:16	1	I
000007	2015-07-01 14:08:57	1	I
000005	2015-07-01 17:17:28	1	O
000007	2015-07-01 17:30:13	1	O
000006	2015-07-01 17:31:56	1	O
000012	2015-07-01 17:40:36	1	O
000010	2015-07-01 17:42:58	1	O
000008	2015-07-01 17:48:08	1	O
000005	2015-07-02 08:10:55	1	I
000010	2015-07-02 08:10:58	1	I
000008	2015-07-02 08:11:04	1	I
000012	2015-07-02 08:11:13	1	I
000007	2015-07-02 08:21:45	1	I
000006	2015-07-02 09:31:03	1	I
000012	2015-07-02 12:32:53	1	O
000008	2015-07-02 12:39:56	1	O
000007	2015-07-02 12:40:27	1	O
000006	2015-07-02 12:40:36	1	O
000005	2015-07-02 12:41:46	1	O
000007	2015-07-02 14:01:04	1	I
000006	2015-07-02 14:05:59	1	I
000012	2015-07-02 14:07:08	1	I
000005	2015-07-02 14:29:16	1	I
000008	2015-07-02 14:29:19	1	I
000007	2015-07-02 17:34:56	1	O
000008	2015-07-02 17:37:14	1	O
000005	2015-07-02 17:37:38	1	O
000012	2015-07-02 17:42:13	1	O
000006	2015-07-02 17:42:28	1	O
000010	2015-07-02 17:43:06	1	O
000012	2015-07-03 08:01:09	1	2
000010	2015-07-03 08:02:47	1	I
000007	2015-07-03 08:13:04	1	I
000006	2015-07-03 08:13:37	1	I
000005	2015-07-03 08:14:08	1	I
000008	2015-07-03 08:14:14	1	I
000006	2015-07-03 12:31:53	1	O
000012	2015-07-03 12:32:45	1	O
000005	2015-07-03 12:48:55	1	O
000008	2015-07-03 12:49:42	1	O
000007	2015-07-03 12:57:33	1	O
000008	2015-07-03 14:03:33	1	O
000005	2015-07-03 14:03:49	1	I
000007	2015-07-03 14:04:21	1	I
000008	2015-07-03 14:05:00	1	I
000012	2015-07-03 14:05:53	1	I
000005	2015-07-03 17:18:22	1	O
000007	2015-07-03 17:34:53	1	O
000010	2015-07-03 17:35:12	1	O
000012	2015-07-03 17:35:20	1	O
000008	2015-07-03 17:37:49	1	O
000006	2015-07-03 17:40:07	1	O
000007	2015-07-06 07:58:21	1	I
000012	2015-07-06 08:45:41	1	I
000005	2015-07-06 09:01:06	1	I
000008	2015-07-06 09:01:10	1	I
000006	2015-07-06 09:02:12	1	I
000010	2015-07-06 09:38:58	1	I
000005	2015-07-06 12:30:00	1	O
000008	2015-07-06 12:30:18	1	O
000012	2015-07-06 12:32:26	1	O
000006	2015-07-06 12:33:03	1	O
000007	2015-07-06 12:52:32	1	O
000008	2015-07-06 14:03:35	1	I
000007	2015-07-06 14:04:06	1	I
000006	2015-07-06 14:05:27	1	I
000005	2015-07-06 14:05:42	1	I
000012	2015-07-06 14:07:04	1	I
000008	2015-07-06 16:37:30	1	O
000005	2015-07-06 17:17:04	1	O
000007	2015-07-06 17:25:38	1	O
000010	2015-07-06 17:31:44	1	O
000012	2015-07-06 17:31:53	1	O
000006	2015-07-07 07:55:59	1	I
000005	2015-07-07 08:07:17	1	I
000008	2015-07-07 08:07:27	1	I
000012	2015-07-07 08:16:45	1	I
000007	2015-07-07 08:17:48	1	I
000010	2015-07-07 08:23:35	1	I
000006	2015-07-07 12:28:16	1	O
000012	2015-07-07 12:31:54	1	O
